Name,id,brewery_id,cat_id,style_id,Alcohol By Volume,International Bitterness Units,Standard Reference Method,Universal Product Code,filepath,Description,add_user,last_mod,Style,Category,Brewer,Address,City,State,Country,Coordinates,Website,lat,long,IBU,ABV,beer_id,beer_name,name_abv,name_ibu
Amigo Lager,3900,1009,8,95,5,0,0,0,"","Because everyone needs a friend.  It seems only natural that with San Diego being one of the closest cities to the Mexican Border that you would find a beer like Amigo.  Brewed in the San Diego Lager style, this all malt lager is a refreshing way to start or finish a drinking session.  The product of a true lager fermentation, this beer is crisp and lighter in body than most ales of similar strength making it a friendly choice for any occasion.


Malts- Pilsner and Two Row

Hops- German Magnum and Czech Saaz

Yeast- White Labs German Lager 


Original Gravity- 1.048

Terminal Gravity- 1.010

5.0% ABV


Draft- Available in Southern California and Arizona",0,2010-07-22T16:00:00-04:00,American-Style Lager,North American Lager,Port Brewing Company,155 Mata Way Suite 104,San Marcos,California,United States,"33.1406,-117.15",http://www.portbrewing.com/,33.1406,-117.15,0,5,"Name: Amigo Lager, Brewery: Port Brewing Company, ABV: 5, IBU: 0",Name: Amigo Lager,ABV: 5,IBU: 0
Oktoberfest Weizen,119,1019,-1,-1,5.6999998093,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Privatbrauerei Erdinger Weissbru,Franz-Brombach-Strae 1-20,Erding,Bayern,Germany,"48.3153,11.8911","",48.3153,11.8911,0,5.7,"Name: Oktoberfest Weizen, Brewery: Privatbrauerei Erdinger Weissbru, ABV: 5.7, IBU: 0",Name: Oktoberfest Weizen,ABV: 5.7,IBU: 0
Organic Barley Wine Ale 2005,132,130,-1,-1,9.5,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Bison Brewing,2598 Telegraph Avenue,Berkeley,California,United States,"37.8634,-122.259","",37.8634,-122.259,0,9.5,"Name: Organic Barley Wine Ale 2005, Brewery: Bison Brewing, ABV: 9.5, IBU: 0",Name: Organic Barley Wine Ale 2005,ABV: 9.5,IBU: 0
Sandy Beach Blonde Hefeweizen,264,624,4,50,4.5,0,0,0,"","",0,2010-07-22T16:00:00-04:00,South German-Style Hefeweizen,German Ale,Half Moon Bay Brewing,390 Capistrano Road,Princeton by the Sea,California,United States,"37.4903,-122.435","",37.4903,-122.435,0,4.5,"Name: Sandy Beach Blonde Hefeweizen, Brewery: Half Moon Bay Brewing, ABV: 4.5, IBU: 0",Name: Sandy Beach Blonde Hefeweizen,ABV: 4.5,IBU: 0
Prairie Pale,343,795,3,26,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Pale Ale,North American Ale,Little Apple Brewing,1110 Westloop Center,Manhattan,Kansas,United States,"39.1836,-96.5717","",39.1836,-96.5717,0,0,"Name: Prairie Pale, Brewery: Little Apple Brewing, ABV: 0, IBU: 0",Name: Prairie Pale,ABV: 0,IBU: 0
English Ale,392,1185,3,26,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Pale Ale,North American Ale,St Peter's Brewery,St Peter's Hall,Bungay,Suffolk,United Kingdom,"36.7282,-76.5836","",36.7282,-76.5836,0,0,"Name: English Ale, Brewery: St Peter's Brewery, ABV: 0, IBU: 0",Name: English Ale,ABV: 0,IBU: 0
Pils,516,204,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Brauerei & Gasthof zur Krone,Brenplatz 7,Tettnang,Baden-Wrttemberg,Germany,"47.6715,9.5888","",47.6715,9.5888,0,0,"Name: Pils, Brewery: Brauerei & Gasthof zur Krone, ABV: 0, IBU: 0",Name: Pils,ABV: 0,IBU: 0
Avec Les Bons Voeux,882,189,-1,-1,9.5,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Brasserie Dupont,Rue Basse 5,Tourpes,Hainaut,Belgium,"50.5718,3.6508","",50.5718,3.6508,0,9.5,"Name: Avec Les Bons Voeux, Brewery: Brasserie Dupont, ABV: 9.5, IBU: 0",Name: Avec Les Bons Voeux,ABV: 9.5,IBU: 0
Brilliant Barstool,946,823,1,1,5.0999999046,0,0,0,"","A true English session ale brewed in the pale ale style using ye olde techniques of yesteryear. Specially crafted to inspire you and your thirstiest mates barstool conversations. Light copper in colour. This pint is quite malty with just enough East Kent hops for a nice, earthy hoppiness. Naturally cask conditioned, this may be served a little cold for a true Brit but is a 

complimentary double nod to one of the 1st beer styles. Cheers mate!",0,2010-07-22T16:00:00-04:00,Classic English-Style Pale Ale,British Ale,Manayunk Brewery and Restaurant,4120 Main Street,Philadelphia,Pennsylvania,United States,"40.0236,-75.2202",http://www.manayunkbrewery.com/,40.0236,-75.2202,0,5.1,"Name: Brilliant Barstool, Brewery: Manayunk Brewery and Restaurant, ABV: 5.1, IBU: 0",Name: Brilliant Barstool,ABV: 5.1,IBU: 0
Stout,2106,1229,3,42,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Stout,North American Ale,"T-Bonz Gill, Grill and Brewery",1028 Johnny Dodds Boulevard,Mount Pleasant,South Carolina,United States,"32.8091,-79.875","",32.8091,-79.875,0,0,"Name: Stout, Brewery: T-Bonz Gill, Grill and Brewery, ABV: 0, IBU: 0",Name: Stout,ABV: 0,IBU: 0
Schlafly Hefeweizen,2144,1092,8,95,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Lager,North American Lager,Saint Louis Brewery / Schlafy Tap Room,2100 Locust Street,Saint Louis,Missouri,United States,"38.633,-90.21",http://www.schlafly.com/,38.633,-90.21,0,0,"Name: Schlafly Hefeweizen, Brewery: Saint Louis Brewery / Schlafy Tap Room, ABV: 0, IBU: 0",Name: Schlafly Hefeweizen,ABV: 0,IBU: 0
Rust Belt Porter,2163,77,2,25,4.0999999046,0,0,0,"","",0,2010-07-22T16:00:00-04:00,Porter,Irish Ale,Barley Island Brewing,639 Conner Street,Noblesville,Indiana,United States,"40.0453,-86.0155","",40.0453,-86.0155,0,4.1,"Name: Rust Belt Porter, Brewery: Barley Island Brewing, ABV: 4.1, IBU: 0",Name: Rust Belt Porter,ABV: 4.1,IBU: 0
Beer,2371,452,8,95,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Lager,North American Lager,Dirt Cheap Cigarettes and Beer,895 Bolger Court,Fenton,Missouri,United States,"38.5405,-90.4607","",38.5405,-90.4607,0,0,"Name: Beer, Brewery: Dirt Cheap Cigarettes and Beer, ABV: 0, IBU: 0",Name: Beer,ABV: 0,IBU: 0
Fancy Lawnmower Beer,2425,1091,-1,-1,4.9000000954,0,0,0,"","A true German-style KÃ¶lsch. Originally brewed in Cologne, this beer is light yet has a sweet malty body that is balanced by a complex, citrus hop character. Multiple additions of German Hallertauer hops are used to achieve this delicate flavor. We use a special KÃ¶lsch yeast, an ale yeast that ferments at lager temperatures, to yield the slightly fruity, clean flavor of this beer. Fancy Lawnmower Beer is a world class brew yet light enough to be enjoyed by Texans after strenuous activities, like mowing the lawn.


Saint Arnold Fancy Lawnmower Beer is best consumed at 35-45Â° Fahrenheit.",0,2010-07-22T16:00:00-04:00,"",Hybrid,Saint Arnold Brewing,2522 Fairway Park Drive,Houston,Texas,United States,"29.8123,-95.4675",http://www.saintarnold.com,29.8123,-95.4675,0,4.9,"Name: Fancy Lawnmower Beer, Brewery: Saint Arnold Brewing, ABV: 4.9, IBU: 0",Name: Fancy Lawnmower Beer,ABV: 4.9,IBU: 0
Thoroughbred Red,2500,675,3,33,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Amber/Red Ale,North American Ale,Hops Grillhouse & Brewery - Cherry Creek,149 Steele Street,Denver,Colorado,United States,"39.7187,-104.95","",39.7187,-104.95,0,0,"Name: Thoroughbred Red, Brewery: Hops Grillhouse & Brewery - Cherry Creek, ABV: 0, IBU: 0",Name: Thoroughbred Red,ABV: 0,IBU: 0
Stonehenge Stout,2506,317,3,42,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Stout,North American Ale,Bull & Bush Pub & Brewery,4700 Cherry Creek Drive South,Denver,Colorado,United States,"39.705,-104.936","",39.705,-104.936,0,0,"Name: Stonehenge Stout, Brewery: Bull & Bush Pub & Brewery, ABV: 0, IBU: 0",Name: Stonehenge Stout,ABV: 0,IBU: 0
Symposium Eisbock,2645,907,7,90,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,Traditional German-Style Bock,German Lager,New Glarus Brewing Company,2400 State Highway 69,New Glarus,Wisconsin,United States,"42.8171,-89.6306",http://www.newglarusbrewing.com/,42.8171,-89.6306,0,0,"Name: Symposium Eisbock, Brewery: New Glarus Brewing Company, ABV: 0, IBU: 0",Name: Symposium Eisbock,ABV: 0,IBU: 0
Lighthouse Amber Lager,2915,1216,8,95,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Lager,North American Lager,Sturgeon Bay Brewing,"",Sturgeon Bay,Wisconsin,United States,"44.8342,-87.377","",44.8342,-87.377,0,0,"Name: Lighthouse Amber Lager, Brewery: Sturgeon Bay Brewing, ABV: 0, IBU: 0",Name: Lighthouse Amber Lager,ABV: 0,IBU: 0
Adler BrÃ¤u Holiday Ale,2956,46,3,33,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Amber/Red Ale,North American Ale,Appleton Brewing,"",Appleton,Wisconsin,United States,"44.2619,-88.4154","",44.2619,-88.4154,0,0,"Name: Adler BrÃ¤u Holiday Ale, Brewery: Appleton Brewing, ABV: 0, IBU: 0",Name: Adler BrÃ¤u Holiday Ale,ABV: 0,IBU: 0
Doggie Claws 2004,1069,622,-1,-1,11.5,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Hair of the Dog Brewing,4509 SE 23rd Avenue,Portland,Oregon,United States,"45.4901,-122.643","",45.4901,-122.643,0,11.5,"Name: Doggie Claws 2004, Brewery: Hair of the Dog Brewing, ABV: 11.5, IBU: 0",Name: Doggie Claws 2004,ABV: 11.5,IBU: 0
Dundee Porter,1201,584,2,25,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,Porter,Irish Ale,Golden Valley Brewery and Pub,980 NE Fourth Street,McMinnville,Oregon,United States,"45.2104,-123.189",http://www.goldenvalleybrewery.com/,45.2104,-123.189,0,0,"Name: Dundee Porter, Brewery: Golden Valley Brewery and Pub, ABV: 0, IBU: 0",Name: Dundee Porter,ABV: 0,IBU: 0
Levitation Ale,1253,1204,3,33,4.4000000954,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Amber/Red Ale,North American Ale,Stone Brewing Co.,1999 Citracado Parkway,Escondido,California,United States,"33.1157,-117.12",http://www.stonebrew.com/,33.1157,-117.12,0,4.4,"Name: Levitation Ale, Brewery: Stone Brewing Co., ABV: 4.4, IBU: 0",Name: Levitation Ale,ABV: 4.4,IBU: 0
Empire India Pale Ale,1312,322,1,2,7.5,0,0,0,"","",0,2010-07-22T16:00:00-04:00,English-Style India Pale Ale,British Ale,Burton Bridge Brewery,Bridge Street,Burton-upon-Trent,Staffordshire,United Kingdom,"52.8065,-1.6225",http://www.burtonbridgebrewery.co.uk/Index.shtml,52.8065,-1.6225,0,7.5,"Name: Empire India Pale Ale, Brewery: Burton Bridge Brewery, ABV: 7.5, IBU: 0",Name: Empire India Pale Ale,ABV: 7.5,IBU: 0
Ruination IPA,1382,1204,3,32,7.6999998093,0,0,0,"","",0,2010-07-22T16:00:00-04:00,Imperial or Double India Pale Ale,North American Ale,Stone Brewing Co.,1999 Citracado Parkway,Escondido,California,United States,"33.1157,-117.12",http://www.stonebrew.com/,33.1157,-117.12,0,7.7,"Name: Ruination IPA, Brewery: Stone Brewing Co., ABV: 7.7, IBU: 0",Name: Ruination IPA,ABV: 7.7,IBU: 0
Altbier,1472,141,3,38,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Brown Ale,North American Ale,BluCreek Brewing Company,2605 South Stoughton Road,Madison,Wisconsin,United States,"43.0598,-89.3085","",43.0598,-89.3085,0,0,"Name: Altbier, Brewery: BluCreek Brewing Company, ABV: 0, IBU: 0",Name: Altbier,ABV: 0,IBU: 0
Ipswich IPA,4016,850,3,31,6.3000001907,0,0,0,"","Our IPA is an unfiltered cross between an English and American IPA, with a strong, dry bitterness balanced with a slight malty sweetness. A mixture of first-rate U.S. and Belgian malts, combined with English roasted barley and highly hopped with Cascade and Warrior hops make our IPA a brewery favorite.",0,2010-07-22T16:00:00-04:00,American-Style India Pale Ale,North American Ale,Mercury Brewing Company,23 Hayward St.,Ipswich,Massachusetts,United States,"42.6728,-70.844",http://www.mercurybrewing.com,42.6728,-70.844,0,6.3,"Name: Ipswich IPA, Brewery: Mercury Brewing Company, ABV: 6.3, IBU: 0",Name: Ipswich IPA,ABV: 6.3,IBU: 0
Kennebunkport IPA,4415,1026,3,31,0,0,0,0,"","Below-average but drinkable IPA, cheaply priced (~$1/bottle), and available at Trader Joe's.",0,2010-07-22T16:00:00-04:00,American-Style India Pale Ale,North American Ale,Pugsley Brewing LLC,"",Portland,Maine,United States,"43.6615,-70.2553","",43.6615,-70.2553,0,0,"Name: Kennebunkport IPA, Brewery: Pugsley Brewing LLC, ABV: 0, IBU: 0",Name: Kennebunkport IPA,ABV: 0,IBU: 0
Seigneuriale,4455,1307,3,33,7.5,0,0,0,"","The copper-colored body and generous foam

head of this amber ale tantalize the eyes but

it's the complex flavor of Seigneuriale that

delivers a pleasant surprise. It is slightly

sweet, malty and spicy, but a distinctive hop

character and notes of apricot brandy give

Seigneuriale a truly unique character. 


We recommending pairing it with carved ham,

apricot-glazed duck or squab, Thai shrimp

curry or a holiday fruit cake.",0,2010-07-22T16:00:00-04:00,American-Style Amber/Red Ale,North American Ale,Unibroue,80 Des Carrires,Chambly,Quebec,Canada,"45.4416,-73.2595",http://www.unibroue.com,45.4416,-73.2595,0,7.5,"Name: Seigneuriale, Brewery: Unibroue, ABV: 7.5, IBU: 0",Name: Seigneuriale,ABV: 7.5,IBU: 0
Imperial Mokah Blended Stout,5426,1173,-1,-1,11,0,0,0,"",A Jahva-Choklat hybrid.,0,2010-07-22T16:00:00-04:00,"",Hybrid,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York,United States,"42.1008,-79.3357",http://www.southerntierbrewing.com/,42.1008,-79.3357,0,11,"Name: Imperial Mokah Blended Stout, Brewery: Southern Tier Brewing Co, ABV: 11, IBU: 0",Name: Imperial Mokah Blended Stout,ABV: 11,IBU: 0
Black Orchard,5472,1246,-1,-1,5.6999998093,0,0,0,"","Black Orchard is an unfiltered, bottle conditioned Belgian-style black wheat beer, or â€œblack witâ€, if you will. This dark but surprisingly light bodied beer is very drinkable while still having character and complexity. Chamomile is added for its floral aroma, while the coriander and citrus peel give the characteristics of a traditional witbier.",0,2010-07-22T16:00:00-04:00,"",Hybrid,The Bruery,715 Dunn Way,Placentia,California,United States,"33.8614,-117.88",http://www.thebruery.com/,33.8614,-117.88,0,5.7,"Name: Black Orchard, Brewery: The Bruery, ABV: 5.7, IBU: 0",Name: Black Orchard,ABV: 5.7,IBU: 0
Pinnacle Peak Pale Ale,5579,633,3,26,4.1999998093,0,0,0,"","This is a light bodied mildly hoppy ale brewed with a 2-row malted barley, Crystal, and a special Vienna malted barley. Golding and Cascade hops are used to provide the balanced palate for this fine session beer. 4.2% ABV",0,2010-07-22T16:00:00-04:00,American-Style Pale Ale,North American Ale,Harmon Brewing Company,1938 Pacific Avenue,Tacoma,Washington,United States,"47.2436,-122.437",http://harmon.harmonbrewingco.com/,47.2436,-122.437,0,4.2,"Name: Pinnacle Peak Pale Ale, Brewery: Harmon Brewing Company, ABV: 4.2, IBU: 0",Name: Pinnacle Peak Pale Ale,ABV: 4.2,IBU: 0
White Christmas,199,892,-1,-1,6.5,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Moylan's Brewery & Restaurant,15 Rowland Way,Novato,California,United States,"38.0941,-122.557",http://www.moylans.com/,38.0941,-122.557,0,6.5,"Name: White Christmas, Brewery: Moylan's Brewery & Restaurant, ABV: 6.5, IBU: 0",Name: White Christmas,ABV: 6.5,IBU: 0
Spring Heat Spiced Wheat,239,44,-1,-1,5.1999998093,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Anheuser-Busch,One Busch Place,Saint Louis,Missouri,United States,"38.5983,-90.209",http://www.anheuser-busch.com/,38.5983,-90.209,0,5.2,"Name: Spring Heat Spiced Wheat, Brewery: Anheuser-Busch, ABV: 5.2, IBU: 0",Name: Spring Heat Spiced Wheat,ABV: 5.2,IBU: 0
Dunkel,565,1344,-1,-1,4.8000001907,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Wdi-Bru-Huus,Florhofstrasse 13,Wdenswil,"",Switzerland,"47.2311,8.6691","",47.2311,8.6691,0,4.8,"Name: Dunkel, Brewery: Wdi-Bru-Huus, ABV: 4.8, IBU: 0",Name: Dunkel,ABV: 4.8,IBU: 0
Kristall Weizen,583,1083,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Ruppaner-Brauerei,Hoheneggstrae 41-51,Konstanz,Baden-Wrttemberg,Germany,"47.6855,9.208","",47.6855,9.208,0,0,"Name: Kristall Weizen, Brewery: Ruppaner-Brauerei, ABV: 0, IBU: 0",Name: Kristall Weizen,ABV: 0,IBU: 0
Calico Jack Amber Ale,982,409,3,33,5.4000000954,0,0,0,"","A rich, malty beer made with classic American hops for a full and complex flavor. Very smooth in aroma and palate. The caramel overtones leave a nice finish.",0,2010-07-22T16:00:00-04:00,American-Style Amber/Red Ale,North American Ale,Crabby Larry's Brewpub Steak & Crab House,237 West Butler Avenue,Chalfont,Pennsylvania,United States,"40.2795,-75.2143",http://www.crabbylarrys.com/,40.2795,-75.2143,0,5.4,"Name: Calico Jack Amber Ale, Brewery: Crabby Larry's Brewpub Steak & Crab House, ABV: 5.4, IBU: 0",Name: Calico Jack Amber Ale,ABV: 5.4,IBU: 0
IPA,1075,1242,3,31,6.6999998093,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style India Pale Ale,North American Ale,Terminal Gravity Brewing,803 SE School Street,Enterprise,Oregon,United States,"45.4192,-117.272","",45.4192,-117.272,0,6.7,"Name: IPA, Brewery: Terminal Gravity Brewing, ABV: 6.7, IBU: 0",Name: IPA,ABV: 6.7,IBU: 0
Category 5 Strong Ale,1603,1386,3,26,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Pale Ale,North American Ale,Zea Rotisserie and Brewery,1525 St. Charles Avenue,New Orleans,Louisiana,United States,"29.9386,-90.076",http://www.zearestaurants.com,29.9386,-90.076,0,0,"Name: Category 5 Strong Ale, Brewery: Zea Rotisserie and Brewery, ABV: 0, IBU: 0",Name: Category 5 Strong Ale,ABV: 0,IBU: 0
Luna Sea Amber,1979,501,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Empyrean Brewing Company,729 Q Street,Lincoln,Nebraska,United States,"40.8155,-96.7105","",40.8155,-96.7105,0,0,"Name: Luna Sea Amber, Brewery: Empyrean Brewing Company, ABV: 0, IBU: 0",Name: Luna Sea Amber,ABV: 0,IBU: 0
Nut Brown Ale,3964,1099,3,38,5,0,0,0,"","Often called â€œmildâ€ if it is on draft, brown ale is a walnut-colored specialty of the North of England. A festive-occasion beer, brown ale is one of the oldest English brewing styles, mentioned in literature in the 16th century. Beers brewed at the old brewery have a round, nutty flavor because of the Yorkshire square system of fermentation.",0,2010-07-22T16:00:00-04:00,American-Style Brown Ale,North American Ale,Samuel Smith Old Brewery (Tadcaster),High Street,Tadcaster,North Yorkshire,United Kingdom,"53.8834,-1.2625","",53.8834,-1.2625,0,5,"Name: Nut Brown Ale, Brewery: Samuel Smith Old Brewery (Tadcaster), ABV: 5, IBU: 0",Name: Nut Brown Ale,ABV: 5,IBU: 0
Keystone Light,4337,399,8,96,4.1999998093,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Light Lager,North American Lager,Coors Brewing - Golden Brewery,311 Tenth Street,Golden,Colorado,United States,"39.7599,-105.219",http://www.coors.com,39.7599,-105.219,0,4.2,"Name: Keystone Light, Brewery: Coors Brewing - Golden Brewery, ABV: 4.2, IBU: 0",Name: Keystone Light,ABV: 4.2,IBU: 0
Raison D'Extra,4520,459,3,29,20,0,0,0,"","A bigger, bolder version of our Raison D'Etre.


This is a bulbous, brown ale brewed with a bunch of malt, brown sugar and raisins.


In case you care... the average 12 oz. serving has approximately 425 calories.",0,2010-07-22T16:00:00-04:00,Dark American-Belgo-Style Ale,North American Ale,Dogfish Head Craft Brewery,6 Cannery Village Center,Milton,Delaware,United States,"38.7683,-75.3107",http://www.dogfish.com,38.7683,-75.3107,0,20,"Name: Raison D'Extra, Brewery: Dogfish Head Craft Brewery, ABV: 20, IBU: 0",Name: Raison D'Extra,ABV: 20,IBU: 0
North Pleasant Pale Ale,4548,35,3,26,5.25,0,0,0,"","Light gold in color, slightly malty and hoppy, with a mild flowery hop finish.",0,2010-07-22T16:00:00-04:00,American-Style Pale Ale,North American Ale,Amherst Brewing Company,24 North Pleasant Street,Amherst,Massachusetts,United States,"42.3763,-72.5199",http://www.amherstbrewing.com/,42.3763,-72.5199,0,5.25,"Name: North Pleasant Pale Ale, Brewery: Amherst Brewing Company, ABV: 5.25, IBU: 0",Name: North Pleasant Pale Ale,ABV: 5.25,IBU: 0
Saranac Brown Ale,4596,512,3,38,6,0,0,0,"","This Brown Ale is brewed with American malt and hops, and traditional ale yeast. Look for a sweet, chocolaty taste, with balanced bitterness resulting in a full flavored but smoothly drinkable beer.",0,2010-07-22T16:00:00-04:00,American-Style Brown Ale,North American Ale,F.X. Matt Brewing,811 Edward Street,Utica,New York,United States,"43.1045,-75.2452",http://www.saranac.com,43.1045,-75.2452,0,6,"Name: Saranac Brown Ale, Brewery: F.X. Matt Brewing, ABV: 6, IBU: 0",Name: Saranac Brown Ale,ABV: 6,IBU: 0
Golden Fleece Maibock,4788,507,7,91,8.5,0,0,0,"","As spring emerges, Golden Fleece Maibock captures center stage. This fine lager is a pleasurable reward for enduring the doldrums of Erie Pennsylvaniaâ€™s harsh Lake-Effect ice and snowstorms. Celebrate the transition into spring! Golden Fleece Maibockâ€™s deep golden color leads into a sweet malty flavor with a light hop finish. Maibock says, â€œRAM ITâ€ to winter with 8.5% alcohol by volume â€“ just enough to take the chill off your day.",0,2010-07-22T16:00:00-04:00,German-Style Heller Bock/Maibock,German Lager,Erie Brewing Company,1213 Veshecco Drive,Erie,Pennsylvania,United States,"42.1112,-80.113",http://www.eriebrewingco.com,42.1112,-80.113,0,8.5,"Name: Golden Fleece Maibock, Brewery: Erie Brewing Company, ABV: 8.5, IBU: 0",Name: Golden Fleece Maibock,ABV: 8.5,IBU: 0
Bravoure,4823,428,-1,-1,7,0,0,0,"",copper -coloured complex tasting ale with a soft smokey taste combined with some caramel-malt to give it a long lasting chocolate-like aftertaste,0,2010-07-22T16:00:00-04:00,"",Hybrid,de dochter van de korenaar,pastoor de katerstraat 24,baarle-hertog,"",Belgium,"51.4421,4.9232",http://www.dedochtervandekorenaar.be,51.4421,4.9232,0,7,"Name: Bravoure, Brewery: de dochter van de korenaar, ABV: 7, IBU: 0",Name: Bravoure,ABV: 7,IBU: 0
